Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
112	390.6382	98.93027	757.61847	277.02884	75.5	158.77776	70.418106	273.18765	2.359696	226000	0.03761544	2423.5073	-0.0050345995	-1580.1252	0.9165245	-4.2438508e-08	1308.3462970256805
113	337.05573	52.592834	490.33127	248.86554	65.2	159.17403	78.41382	280.45795	-8.657751	228000	-0.04495656	1435.6145	-0.003949601	-1061.2694	0.9165062	-2.9563903e-08	1321.2134068012238
114	354.27478	90.56476	729.42267	259.2398	68.0	149.39273	72.323845	273.69116	-22.05133	230000	0.004613778	2244.274	-0.00446639	-1529.9025	0.91649514	-4.1007997e-08	1333.7064263820648
115	369.9316	69.41772	537.534	244.10767	71.10714	150.29198	72.638054	275.84366	-7.0819244	232000	-0.03018129	1419.4835	-0.0043579135	-995.24194	0.91647923	6.055832e-08	1346.2697565555573
116	349.50327	57.364502	487.94122	216.10852	65.833336	155.7475	75.806244	282.3532	-16.832977	234000	-0.03749889	975.19385	-0.0046807453	-650.87134	0.9164647	-1.859665e-08	1358.6824400424957
117	357.46194	56.52513	487.57632	246.2554	67.55173	155.23108	72.45218	276.88535	-0.9177518	236000	0.060027976	969.6245	-0.003784228	-623.0176	0.91644675	-1.9073486e-08	1371.1822626590729
118	391.06464	83.82146	555.5505	243.44838	76.23077	156.24881	74.10991	281.7716	-15.162541	238000	-0.084241286	1551.6709	-0.0045187995	-1053.1667	0.9164405	1.9073486e-08	1383.6497197151184
119	367.9686	71.33143	491.27283	257.72116	69.82143	156.95682	77.61143	286.60168	-25.918331	240000	-0.084267296	1281.1661	-0.005821079	-828.8904	0.91641927	-2.193451e-08	1396.1470296382904
120	349.27283	63.91595	514.2608	230.31525	66.82758	160.68834	75.01927	282.23746	-5.5698447	242000	-0.04124191	1256.4077	-0.005442366	-846.68713	0.9163971	-3.7670137e-08	1409.049559354782
121	370.4625	68.09484	573.90857	258.6364	70.07143	152.40756	73.797264	277.5042	-0.5738435	244000	0.015955534	1102.7228	-0.0043247156	-745.97614	0.9163662	-2.002716e-08	1421.5275111198425
