Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
107	-462.67337	190.61618	-202.80696	-654.6862	-254.73892	400.69382	184.27104	-1105.882	707.3333	440.4	213999	257.39804	105.93056	572.15015	-129.86143	-261.26996	74.98889	24097.859438419342
108	-312.3154	182.00456	-58.042725	-474.05743	-460.0473	399.59686	243.22226	-817.0793	696.0	715.1	215999	257.27893	105.251015	558.2411	-229.30457	-260.96744	73.67101	24352.351040124893
109	-63.733086	90.45828	84.917076	-154.06949	-203.64432	520.6411	277.8139	-1723.7913	377.0	435.3	217999	256.41635	104.74352	596.7781	-141.61871	-260.18298	73.40849	24580.01433324814
110	-146.32579	293.86865	171.32353	-832.518	-445.34604	433.20575	-49.9621	-1150.2933	344.14285	633.0	219999	257.51517	104.935356	542.1517	-179.6271	-261.2864	71.78577	24826.81698036194
111	-478.79706	449.64822	-20.278862	-1035.6982	-275.735	438.26163	212.82993	-1272.3173	518.75	442.6	221999	257.12445	103.89661	516.81573	-187.8805	-260.63055	70.24679	25055.305138349533
112	-440.96542	314.9301	-155.61398	-879.787	-353.3686	565.9085	126.7363	-1709.3129	788.6667	532.5	223999	254.9408	102.9445	522.66016	-208.5622	-258.53995	69.791016	25291.32698893547
113	-68.872025	57.388	-9.857107	-157.41081	-395.63428	384.42432	-27.222591	-1135.309	318.0	538.9	225999	254.63258	102.44546	531.92053	-114.94808	-258.28775	61.43574	25531.29790496826
114	-515.2411	423.79678	-38.715527	-1068.3024	-144.72107	524.47235	514.1797	-1629.9386	688.3333	420.4	227999	253.73595	101.95616	517.93774	-126.06448	-257.16705	66.333244	25763.495189666748
115	-320.36212	438.47397	-9.271717	-1297.3636	-463.80304	352.30023	1.0607221	-1185.1355	358.42856	710.7	229999	251.822	100.65299	542.4623	-153.8898	-255.21472	65.18699	26017.193237543106
116	-471.19086	553.43097	-18.308706	-1391.5043	-213.65543	295.9241	2.1977086	-907.70685	439.4	613.4	231999	249.17502	99.44267	555.02765	-213.49512	-252.5683	66.64049	26268.723445415497
