Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
120	986.53125	253.15761	1288.1698	602.41095	814.7399	144.39722	1005.90906	664.3336	306.7143	272.9	239999	412.89572	100.05599	550.2691	-251.25995	-417.91287	178.64975	37350.065000772476
121	1155.7683	158.96977	1295.9219	850.7163	890.21204	178.86859	1119.6287	568.2294	362.6	298.5	241999	413.07828	99.69436	562.5332	-243.15678	-418.0894	177.23645	37696.53372788429
122	936.7862	120.07065	1133.5332	768.6167	1027.4141	232.78267	1521.2913	728.207	297.83334	328.8	243999	410.95016	99.94649	556.87726	-301.76074	-415.75443	179.97112	38052.702666282654
123	1053.4098	382.3956	1705.9786	481.05896	917.0205	142.25719	1227.0178	766.0755	331.0	294.1	245999	408.83417	99.165375	557.71594	-319.84482	-413.59262	179.7466	38405.84111523628
124	440.0355	323.09973	918.4006	17.72468	913.9435	76.86855	1123.7173	809.9449	169.5	303.3	247999	405.56024	98.684814	547.4497	-281.61493	-410.1021	174.85292	38759.697689533234
125	833.86975	178.85759	1067.0608	633.3352	1077.3918	109.77589	1186.2274	831.2502	282.14285	359.9	249999	403.99307	98.269264	550.28455	-350.051	-408.83115	165.93765	39115.096816301346
126	721.797	269.1866	869.1938	41.393528	1641.7806	659.4176	2664.0693	416.6567	236.5	619.8	251999	403.4234	98.756905	555.93427	-305.92847	-408.10263	168.58934	39489.87000703812
127	1238.4865	225.56828	1641.0424	976.1126	650.25745	623.7406	1781.708	143.77716	406.2	244.9	253999	400.81448	99.39046	548.46783	-216.39828	-405.34195	164.06903	39841.63894701004
128	1053.5808	723.0347	1940.1196	62.238674	884.1701	330.89697	1212.6444	247.49023	373.2	290.6	255999	398.87756	98.170364	549.424	-379.13412	-403.3419	165.97212	40198.0710144043
129	1305.5432	223.51251	1702.6874	1064.9022	1689.573	736.41724	2813.7725	585.2657	463.8	699.1	257999	397.90845	97.35835	538.4624	-188.67404	-402.298	161.97353	40575.45570445061
130	812.46027	440.94962	1312.1725	95.70328	1469.4397	406.63028	2138.6755	732.57336	320.4	516.2	259999	395.74252	96.64685	544.02576	-240.73158	-400.12796	165.43625	40947.0477206707
131	1603.4707	344.68976	2197.5264	1358.2618	1178.568	567.37854	2320.6772	468.32733	596.75	438.8	261999	394.0338	94.77874	539.0837	-239.00168	-398.4585	162.50534	41310.548724889755
132	1270.896	359.66498	1811.8176	837.83966	848.8419	142.97412	1211.6078	715.9934	484.75	306.4	263999	392.21103	94.24382	540.8536	-198.90082	-396.60455	163.89102	41665.62574625015
133	997.8262	695.4791	2098.6023	157.61488	616.1376	209.96236	987.95074	227.25546	322.5	223.5	265999	390.95657	93.01932	543.19946	-241.2436	-395.26218	156.14519	42018.71641612053
134	964.69257	392.94507	1475.2611	384.45575	1376.6771	817.0936	2845.264	453.81277	301.2857	434.6	267999	389.68347	92.671394	542.7018	-196.89659	-393.99252	147.83815	42382.02619290352
135	876.42255	525.2031	1885.6277	303.95514	341.54688	4.8966064	349.16122	334.1819	290.14285	136.7	269999	388.4345	92.50808	535.68787	-228.27391	-392.6136	149.72998	42728.85905337334
136	1016.4999	755.6176	2524.2034	585.7434	1303.3353	952.5705	2890.866	191.70805	319.6	427.0	271999	387.9123	92.23548	535.7408	-284.64252	-392.13663	157.73303	43091.657158613205
137	1091.4572	518.86847	2056.77	466.10034	1198.7219	707.5658	2792.8003	589.13965	356.66666	447.3	273999	388.63336	92.53093	535.8074	-255.90366	-393.0663	158.86937	43454.30520772934
138	984.40094	962.487	3066.1475	251.07909	240.97989	7.8424993	257.3436	231.4528	341.16666	137.9	275999	389.53937	93.73977	543.339	-292.3596	-393.95425	153.02975	43801.43958210945
